,year,day,month,time
0,2025,29,1,17:36:00
2,2025,28,2,05:45:00
4,2025,29,3,15:58:00
6,2025,28,4,00:31:00
7,2025,27,5,08:02:00
9,2025,25,6,15:32:00
11,2025,25,7,00:11:00
13,2025,23,8,11:07:00
15,2025,22,9,00:54:00
17,2025,21,10,17:25:00
20,2025,20,11,11:47:00
23,2025,20,12,06:43:00
25,2026,19,1,00:52:00
27,2026,17,2,17:01:00
29,2026,19,3,06:23:00
31,2026,17,4,16:52:00
33,2026,17,5,01:01:00
34,2026,15,6,07:54:00
36,2026,14,7,14:44:00
38,2026,12,8,22:37:00
40,2026,11,9,08:27:00
42,2026,10,10,20:50:00
44,2026,9,11,12:02:00
47,2026,9,12,05:52:00
49,2027,8,1,01:24:00
51,2027,6,2,20:56:00
53,2027,8,3,14:29:00
55,2027,7,4,04:51:00
57,2027,6,5,15:59:00
59,2027,5,6,00:40:00
61,2027,4,7,08:02:00
63,2027,2,8,15:05:00
65,2027,31,8,22:41:00
67,2027,30,9,07:36:00
69,2027,29,10,18:37:00
71,2027,28,11,08:24:00
73,2027,28,12,01:12:00
75,2028,26,1,20:12:00
76,2028,25,2,15:37:00
78,2028,26,3,09:31:00
80,2028,25,4,00:47:00
82,2028,24,5,13:16:00
84,2028,22,6,23:27:00
86,2028,22,7,08:02:00
88,2028,20,8,15:44:00
90,2028,18,9,23:24:00
92,2028,18,10,07:57:00
94,2028,16,11,18:18:00
96,2028,16,12,07:06:00
98,2029,14,1,22:24:00
100,2029,13,2,15:31:00
102,2029,15,3,09:19:00
104,2029,14,4,02:40:00
106,2029,13,5,18:42:00
108,2029,12,6,08:50:00
110,2029,11,7,20:51:00
112,2029,10,8,06:56:00
114,2029,8,9,15:44:00
117,2029,8,10,00:14:00
119,2029,6,11,09:24:00
121,2029,5,12,19:52:00
122,2030,4,1,07:49:00
124,2030,2,2,21:07:00
125,2030,4,3,11:35:00
127,2030,3,4,03:02:00
129,2030,2,5,19:12:00
131,2030,1,6,11:21:00
133,2030,1,7,02:34:00
135,2030,30,7,16:11:00
138,2030,29,8,04:07:00
140,2030,27,9,14:55:00
143,2030,27,10,01:17:00
145,2030,25,11,11:46:00
147,2030,24,12,22:32:00
148,2031,23,1,09:31:00
150,2031,21,2,20:49:00
151,2031,23,3,08:49:00
153,2031,21,4,21:57:00
155,2031,21,5,12:17:00
157,2031,20,6,03:25:00
159,2031,19,7,18:40:00
162,2031,18,8,09:32:00
165,2031,16,9,23:47:00
167,2031,16,10,13:21:00
169,2031,15,11,02:10:00
171,2031,14,12,14:06:00
173,2032,13,1,01:07:00
175,2032,11,2,11:24:00
177,2032,11,3,21:25:00
178,2032,10,4,07:39:00
180,2032,9,5,18:36:00
182,2032,8,6,06:32:00
184,2032,7,7,19:41:00
187,2032,6,8,10:11:00
190,2032,5,9,01:57:00
192,2032,4,10,18:26:00
195,2032,3,11,10:45:00
197,2032,3,12,01:53:00
199,2033,1,1,15:17:00
201,2033,31,1,03:00:00
203,2033,1,3,13:23:00
205,2033,30,3,22:52:00
206,2033,29,4,07:46:00
208,2033,28,5,16:36:00
210,2033,27,6,02:07:00
212,2033,26,7,13:12:00
215,2033,25,8,02:40:00
217,2033,23,9,18:40:00
220,2033,23,10,12:28:00
222,2033,22,11,06:39:00
224,2033,21,12,23:46:00
226,2034,20,1,15:01:00
228,2034,19,2,04:10:00
230,2034,20,3,15:14:00
232,2034,19,4,00:26:00
234,2034,18,5,08:12:00
236,2034,16,6,15:26:00
238,2034,15,7,23:15:00
240,2034,14,8,08:53:00
242,2034,12,9,21:14:00
244,2034,12,10,12:33:00
246,2034,11,11,06:16:00
248,2034,11,12,01:14:00
250,2035,9,1,20:03:00
251,2035,8,2,13:22:00
253,2035,10,3,04:09:00
255,2035,8,4,15:58:00
257,2035,8,5,01:04:00
259,2035,6,6,08:21:00
261,2035,5,7,14:59:00
263,2035,3,8,22:12:00
265,2035,2,9,06:59:00
267,2035,1,10,18:07:00
269,2035,31,10,07:59:00
271,2035,30,11,00:37:00
273,2035,29,12,19:31:00
274,2036,28,1,15:17:00
